book_id,award_category,title,number_of_votes,link
8306857,favorite book of 2011,Divergent by Veronica Roth,10159,https://www.goodreads.com/book/show/8306857-divergent?from_choice=true
7304203,favorite book of 2011,Shadowfever by Karen Marie Moning,8970,https://www.goodreads.com/book/show/7304203-shadowfever?from_choice=true
10664113,favorite book of 2011,A Dance with Dragons by George R.R. Martin,7617,https://www.goodreads.com/book/show/10664113-a-dance-with-dragons?from_choice=true
6752378,favorite book of 2011,City of Fallen Angels by Cassandra Clare,7535,https://www.goodreads.com/book/show/6752378-city-of-fallen-angels?from_choice=true
9418327,favorite book of 2011,Bossypants by Tina Fey,6287,https://www.goodreads.com/book/show/9418327-bossypants?from_choice=true
1215032,favorite book of 2011,The Wise Man's Fear by Patrick Rothfuss,5859,https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear?from_choice=true
8667848,favorite book of 2011,A Discovery of Witches by Deborah Harkness,4833,https://www.goodreads.com/book/show/8667848-a-discovery-of-witches?from_choice=true
9460487,favorite book of 2011,Miss Peregrine's Home for Peculiar Children by Ransom Riggs,4254,https://www.goodreads.com/book/show/9460487-miss-peregrine-s-home-for-peculiar-children?from_choice=true
7686667,favorite book of 2011,Delirium by Lauren Oliver,3754,https://www.goodreads.com/book/show/7686667-delirium?from_choice=true
7981206,favorite book of 2011,Dead Reckoning by Charlaine Harris,3300,https://www.goodreads.com/book/show/7981206-dead-reckoning?from_choice=true
9409458,favorite book of 2011,Forever by Maggie Stiefvater,1732,https://www.goodreads.com/book/show/9409458-forever?from_choice=true
8554005,favorite book of 2011,Sing You Home by Jodi Picoult,1718,https://www.goodreads.com/book/show/8554005-sing-you-home?from_choice=true
9118135,favorite book of 2011,State of Wonder by Ann Patchett,1347,https://www.goodreads.com/book/show/9118135-state-of-wonder?from_choice=true
8683812,favorite book of 2011,The Paris Wife by Paula McLain,1339,https://www.goodreads.com/book/show/8683812-the-paris-wife?from_choice=true
8652190,favorite book of 2011,Awakened by P.C. Cast,1319,https://www.goodreads.com/book/show/8652190-awakened?from_choice=true
9361589,favorite book of 2011,The Night Circus by Erin Morgenstern,1293,https://www.goodreads.com/book/show/9361589-the-night-circus?from_choice=true
9520360,favorite book of 2011,The Son of Neptune by Rick Riordan,1137,https://www.goodreads.com/book/show/9520360-the-son-of-neptune?from_choice=true
8709527,favorite book of 2011,Bloodlines by Richelle Mead,815,https://www.goodreads.com/book/show/8709527-bloodlines?from_choice=true
8490112,favorite book of 2011,Daughter of Smoke & Bone by Laini Taylor,683,https://www.goodreads.com/book/show/8490112-daughter-of-smoke-bone?from_choice=true
9969571,favorite book of 2011,Ready Player One by Ernest Cline,613,https://www.goodreads.com/book/show/9969571-ready-player-one?from_choice=true
10357575,best fiction books 2011,1Q84 by Haruki Murakami,4107,https://www.goodreads.com/book/show/10357575-1q84?from_choice=true
8546358,best fiction books 2011,The Peach Keeper by Sarah Addison Allen,3948,https://www.goodreads.com/book/show/8546358-the-peach-keeper?from_choice=true
8554005,best fiction books 2011,Sing You Home by Jodi Picoult,3676,https://www.goodreads.com/book/show/8554005-sing-you-home?from_choice=true
8949352,best fiction books 2011,Night Road by Kristin Hannah,3245,https://www.goodreads.com/book/show/8949352-night-road?from_choice=true
9279177,best fiction books 2011,The Lover's Dictionary by David Levithan,3000,https://www.goodreads.com/book/show/9279177-the-lover-s-dictionary?from_choice=true
9118135,best fiction books 2011,State of Wonder by Ann Patchett,2204,https://www.goodreads.com/book/show/9118135-state-of-wonder?from_choice=true
8366402,best fiction books 2011,The Tiger's Wife by Téa Obreht,2192,https://www.goodreads.com/book/show/8366402-the-tiger-s-wife?from_choice=true
10032672,best fiction books 2011,The Language of Flowers by Vanessa Diffenbaugh,1867,https://www.goodreads.com/book/show/10032672-the-language-of-flowers?from_choice=true
10964693,best fiction books 2011,The Marriage Plot by Jeffrey Eugenides,1827,https://www.goodreads.com/book/show/10964693-the-marriage-plot?from_choice=true
9545064,best fiction books 2011,The Story of Beautiful Girl by Rachel Simon,1661,https://www.goodreads.com/book/show/9545064-the-story-of-beautiful-girl?from_choice=true
10996342,best fiction books 2011,The Art of Fielding by Chad Harbach,601,https://www.goodreads.com/book/show/10996342-the-art-of-fielding?from_choice=true
11804738,best fiction books 2011,The Sense of an Ending by Julian Barnes,568,https://www.goodreads.com/book/show/11804738-the-sense-of-an-ending?from_choice=true
10059498,best fiction books 2011,The Midwife's Confession by Diane Chamberlain,553,https://www.goodreads.com/book/show/10059498-the-midwife-s-confession?from_choice=true
9443405,best fiction books 2011,The Pale King by David Foster Wallace,516,https://www.goodreads.com/book/show/9443405-the-pale-king?from_choice=true
10364994,best fiction books 2011,The Submission by Amy Waldman,273,https://www.goodreads.com/book/show/10364994-the-submission?from_choice=true
9749711,best fiction books 2011,Silver Sparrow by Tayari Jones,248,https://www.goodreads.com/book/show/9749711-silver-sparrow?from_choice=true
9923372,best fiction books 2011,Maine by J. Courtney Sullivan,170,https://www.goodreads.com/book/show/9923372-maine?from_choice=true
10762469,best fiction books 2011,The Leftovers by Tom Perrotta,167,https://www.goodreads.com/book/show/10762469-the-leftovers?from_choice=true
8584686,best fiction books 2011,Swamplandia! by Karen Russell,167,https://www.goodreads.com/book/show/8584686-swamplandia?from_choice=true
9658159,best fiction books 2011,Once Upon a River by Bonnie Jo Campbell,107,https://www.goodreads.com/book/show/9658159-once-upon-a-river?from_choice=true
9583508,best mystery thriller books 2011,Smokin' Seventeen by Janet Evanovich,3996,https://www.goodreads.com/book/show/9583508-smokin-seventeen?from_choice=true
10402992,best mystery thriller books 2011,New York to Dallas by J.D. Robb,3251,https://www.goodreads.com/book/show/10402992-new-york-to-dallas?from_choice=true
