year,award,book_id,book_title,author,number_of_votes,link
2011,favorite book,8306857,Divergent,Veronica Roth,10159,https://www.goodreads.com/book/show/8306857-divergent?from_choice=true
2011,favorite book,7304203,Shadowfever,Karen Marie Moning,8970,https://www.goodreads.com/book/show/7304203-shadowfever?from_choice=true
2011,favorite book,10664113,A Dance with Dragons,George R.R. Martin,7617,https://www.goodreads.com/book/show/10664113-a-dance-with-dragons?from_choice=true
2011,favorite book,6752378,City of Fallen Angels,Cassandra Clare,7535,https://www.goodreads.com/book/show/6752378-city-of-fallen-angels?from_choice=true
2011,favorite book,9418327,Bossypants,Tina Fey,6287,https://www.goodreads.com/book/show/9418327-bossypants?from_choice=true
2011,favorite book,1215032,The Wise Man's Fear,Patrick Rothfuss,5859,https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear?from_choice=true
2011,favorite book,8667848,A Discovery of Witches,Deborah Harkness,4833,https://www.goodreads.com/book/show/8667848-a-discovery-of-witches?from_choice=true
2011,favorite book,9460487,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,4254,https://www.goodreads.com/book/show/9460487-miss-peregrine-s-home-for-peculiar-children?from_choice=true
2011,favorite book,7686667,Delirium,Lauren Oliver,3754,https://www.goodreads.com/book/show/7686667-delirium?from_choice=true
2011,favorite book,7981206,Dead Reckoning,Charlaine Harris,3300,https://www.goodreads.com/book/show/7981206-dead-reckoning?from_choice=true
2011,favorite book,9409458,Forever,Maggie Stiefvater,1732,https://www.goodreads.com/book/show/9409458-forever?from_choice=true
2011,favorite book,8554005,Sing You Home,Jodi Picoult,1718,https://www.goodreads.com/book/show/8554005-sing-you-home?from_choice=true
2011,favorite book,9118135,State of Wonder,Ann Patchett,1347,https://www.goodreads.com/book/show/9118135-state-of-wonder?from_choice=true
2011,favorite book,8683812,The Paris Wife,Paula McLain,1339,https://www.goodreads.com/book/show/8683812-the-paris-wife?from_choice=true
2011,favorite book,8652190,Awakened,P.C. Cast,1319,https://www.goodreads.com/book/show/8652190-awakened?from_choice=true
2011,favorite book,9361589,The Night Circus,Erin Morgenstern,1293,https://www.goodreads.com/book/show/9361589-the-night-circus?from_choice=true
2011,favorite book,9520360,The Son of Neptune,Rick Riordan,1137,https://www.goodreads.com/book/show/9520360-the-son-of-neptune?from_choice=true
2011,favorite book,8709527,Bloodlines,Richelle Mead,815,https://www.goodreads.com/book/show/8709527-bloodlines?from_choice=true
2011,favorite book,8490112,Daughter of Smoke & Bone,Laini Taylor,683,https://www.goodreads.com/book/show/8490112-daughter-of-smoke-bone?from_choice=true
2011,favorite book,9969571,Ready Player One,Ernest Cline,613,https://www.goodreads.com/book/show/9969571-ready-player-one?from_choice=true
2011,best fiction books,10357575,1Q84,Haruki Murakami,4107,https://www.goodreads.com/book/show/10357575-1q84?from_choice=true
2011,best fiction books,8546358,The Peach Keeper,Sarah Addison Allen,3948,https://www.goodreads.com/book/show/8546358-the-peach-keeper?from_choice=true
2011,best fiction books,8554005,Sing You Home,Jodi Picoult,3676,https://www.goodreads.com/book/show/8554005-sing-you-home?from_choice=true
2011,best fiction books,8949352,Night Road,Kristin Hannah,3245,https://www.goodreads.com/book/show/8949352-night-road?from_choice=true
2011,best fiction books,9279177,The Lover's Dictionary,David Levithan,3000,https://www.goodreads.com/book/show/9279177-the-lover-s-dictionary?from_choice=true
2011,best fiction books,9118135,State of Wonder,Ann Patchett,2204,https://www.goodreads.com/book/show/9118135-state-of-wonder?from_choice=true
2011,best fiction books,8366402,The Tiger's Wife,Téa Obreht,2192,https://www.goodreads.com/book/show/8366402-the-tiger-s-wife?from_choice=true
2011,best fiction books,10032672,The Language of Flowers,Vanessa Diffenbaugh,1867,https://www.goodreads.com/book/show/10032672-the-language-of-flowers?from_choice=true
2011,best fiction books,10964693,The Marriage Plot,Jeffrey Eugenides,1827,https://www.goodreads.com/book/show/10964693-the-marriage-plot?from_choice=true
2011,best fiction books,9545064,The Story of Beautiful Girl,Rachel Simon,1661,https://www.goodreads.com/book/show/9545064-the-story-of-beautiful-girl?from_choice=true
2011,best fiction books,10996342,The Art of Fielding,Chad Harbach,601,https://www.goodreads.com/book/show/10996342-the-art-of-fielding?from_choice=true
2011,best fiction books,11804738,The Sense of an Ending,Julian Barnes,568,https://www.goodreads.com/book/show/11804738-the-sense-of-an-ending?from_choice=true
2011,best fiction books,10059498,The Midwife's Confession,Diane Chamberlain,553,https://www.goodreads.com/book/show/10059498-the-midwife-s-confession?from_choice=true
2011,best fiction books,9443405,The Pale King,David Foster Wallace,516,https://www.goodreads.com/book/show/9443405-the-pale-king?from_choice=true
2011,best fiction books,10364994,The Submission,Amy Waldman,273,https://www.goodreads.com/book/show/10364994-the-submission?from_choice=true
2011,best fiction books,9749711,Silver Sparrow,Tayari Jones,248,https://www.goodreads.com/book/show/9749711-silver-sparrow?from_choice=true
2011,best fiction books,9923372,Maine,J. Courtney Sullivan,170,https://www.goodreads.com/book/show/9923372-maine?from_choice=true
2011,best fiction books,10762469,The Leftovers,Tom Perrotta,167,https://www.goodreads.com/book/show/10762469-the-leftovers?from_choice=true
2011,best fiction books,8584686,Swamplandia!,Karen Russell,167,https://www.goodreads.com/book/show/8584686-swamplandia?from_choice=true
2011,best fiction books,9658159,Once Upon a River,Bonnie Jo Campbell,107,https://www.goodreads.com/book/show/9658159-once-upon-a-river?from_choice=true
2011,best mystery thriller books,9583508,Smokin' Seventeen,Janet Evanovich,3996,https://www.goodreads.com/book/show/9583508-smokin-seventeen?from_choice=true
2011,best mystery thriller books,10402992,New York to Dallas,J.D. Robb,3251,https://www.goodreads.com/book/show/10402992-new-york-to-dallas?from_choice=true
2011,best mystery thriller books,9736930,Before I Go to Sleep,S.J. Watson,3114,https://www.goodreads.com/book/show/9736930-before-i-go-to-sleep?from_choice=true
2011,best mystery thriller books,8517008,A Red Herring Without Mustard,Alan Bradley,2827,https://www.goodreads.com/book/show/8517008-a-red-herring-without-mustard?from_choice=true
2011,best mystery thriller books,10552338,Reamde,Neal Stephenson,2531,https://www.goodreads.com/book/show/10552338-reamde?from_choice=true
2011,best mystery thriller books,9166559,These Things Hidden,Heather Gudenkauf,1989,https://www.goodreads.com/book/show/9166559-these-things-hidden?from_choice=true
2011,best mystery thriller books,10169662,Never Knowing,Chevy Stevens,1903,https://www.goodreads.com/book/show/10169662-never-knowing?from_choice=true
2011,best mystery thriller books,7926569,Now You See Her,James Patterson,1821,https://www.goodreads.com/book/show/7926569-now-you-see-her?from_choice=true
2011,best mystery thriller books,8701129,Love You More,Lisa Gardner,1645,https://www.goodreads.com/book/show/8701129-love-you-more?from_choice=true
2011,best mystery thriller books,9681098,The Fifth Witness,Michael Connelly,1467,https://www.goodreads.com/book/show/9681098-the-fifth-witness?from_choice=true
2011,best mystery thriller books,10680329,A Trick of the Light,Louise Penny,718,https://www.goodreads.com/book/show/10680329-a-trick-of-the-light?from_choice=true
2011,best mystery thriller books,9635495,Fallen,Karin Slaughter,672,https://www.goodreads.com/book/show/9635495-fallen?from_choice=true
2011,best mystery thriller books,8437667,Live Wire,Harlan Coben,578,https://www.goodreads.com/book/show/8437667-live-wire?from_choice=true
2011,best mystery thriller books,10532477,Heat Rises,Richard Castle,527,https://www.goodreads.com/book/show/10532477-heat-rises?from_choice=true
2011,best mystery thriller books,9440448,Buried Prey,John Sandford,485,https://www.goodreads.com/book/show/9440448-buried-prey?from_choice=true
2011,best mystery thriller books,10024937,Iron House,John Hart,384,https://www.goodreads.com/book/show/10024937-iron-house?from_choice=true
2011,best mystery thriller books,9970915,Pirate King,Laurie R. King,261,https://www.goodreads.com/book/show/9970915-pirate-king?from_choice=true
2011,best mystery thriller books,9578677,The Silent Girl,Tess Gerritsen,222,https://www.goodreads.com/book/show/9578677-the-silent-girl?from_choice=true
2011,best mystery thriller books,10627168,The Affair,Lee Child,216,https://www.goodreads.com/book/show/10627168-the-affair?from_choice=true
2011,best mystery thriller books,9231999,Claire DeWitt and the City of the Dead,Sara Gran,88,https://www.goodreads.com/book/show/9231999-claire-dewitt-and-the-city-of-the-dead?from_choice=true
2011,best historical fiction books,8683812,The Paris Wife,Paula McLain,3123,https://www.goodreads.com/book/show/8683812-the-paris-wife?from_choice=true
2011,best historical fiction books,10950924,The Dovekeepers,Alice Hoffman,2498,https://www.goodreads.com/book/show/10950924-the-dovekeepers?from_choice=true
2011,best historical fiction books,9850443,The Sisters Brothers,Patrick deWitt,2212,https://www.goodreads.com/book/show/9850443-the-sisters-brothers?from_choice=true
2011,best historical fiction books,8689913,Madame Tussaud,Michelle Moran,2196,https://www.goodreads.com/book/show/8689913-madame-tussaud?from_choice=true
2011,best historical fiction books,9500416,Dreams of Joy,Lisa See,1944,https://www.goodreads.com/book/show/9500416-dreams-of-joy?from_choice=true
2011,best historical fiction books,8312896,The Second Duchess,Elizabeth Loupas,1734,https://www.goodreads.com/book/show/8312896-the-second-duchess?from_choice=true
2011,best historical fiction books,9684523,Caleb's Crossing,Geraldine Brooks,1603,https://www.goodreads.com/book/show/9684523-caleb-s-crossing?from_choice=true
2011,best historical fiction books,10518423,The Soldier's Wife,Margaret Leroy,1343,https://www.goodreads.com/book/show/10518423-the-soldier-s-wife?from_choice=true
2011,best historical fiction books,10054335,Rules of Civility,Amor Towles,1082,https://www.goodreads.com/book/show/10054335-rules-of-civility?from_choice=true
2011,best historical fiction books,10872085,Only Time Will Tell,Jeffrey Archer,1065,https://www.goodreads.com/book/show/10872085-only-time-will-tell?from_choice=true
2011,best historical fiction books,9542439,The Lady of the Rivers,Philippa Gregory,604,https://www.goodreads.com/book/show/9542439-the-lady-of-the-rivers?from_choice=true
2011,best historical fiction books,8911226,Doc,Mary Doria Russell,559,https://www.goodreads.com/book/show/8911226-doc?from_choice=true
2011,best historical fiction books,9413657,Letters from Home,Kristina McMorris,554,https://www.goodreads.com/book/show/9413657-letters-from-home?from_choice=true
2011,best historical fiction books,9689093,The Autobiography of Mrs. Tom Thumb,Melanie Benjamin,542,https://www.goodreads.com/book/show/9689093-the-autobiography-of-mrs-tom-thumb?from_choice=true
2011,best historical fiction books,10158657,22 Britannia Road,Amanda Hodgkinson,508,https://www.goodreads.com/book/show/10158657-22-britannia-road?from_choice=true
2011,best historical fiction books,10437680,Lionheart,Sharon Kay Penman,334,https://www.goodreads.com/book/show/10437680-lionheart?from_choice=true
2011,best historical fiction books,9933894,The Dark Enquiry,Deanna Raybourn,331,https://www.goodreads.com/book/show/9933894-the-dark-enquiry?from_choice=true
2011,best historical fiction books,9951003,Becoming Marie Antoinette,Juliet Grey,255,https://www.goodreads.com/book/show/9951003-becoming-marie-antoinette?from_choice=true
2011,best historical fiction books,8582344,Exit the Actress,Priya Parmar,215,https://www.goodreads.com/book/show/8582344-exit-the-actress?from_choice=true
2011,best historical fiction books,9464746,The Wild Rose,Jennifer Donnelly,185,https://www.goodreads.com/book/show/9464746-the-wild-rose?from_choice=true
2011,best fantasy books,10664113,A Dance with Dragons,George R.R. Martin,8530,https://www.goodreads.com/book/show/10664113-a-dance-with-dragons?from_choice=true
2011,best fantasy books,9361589,The Night Circus,Erin Morgenstern,8519,https://www.goodreads.com/book/show/9361589-the-night-circus?from_choice=true
2011,best fantasy books,1215032,The Wise Man's Fear,Patrick Rothfuss,4962,https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear?from_choice=true
2011,best fantasy books,8785374,Snuff,Terry Pratchett,2479,https://www.goodreads.com/book/show/8785374-snuff?from_choice=true
2011,best fantasy books,9581507,Don't Breathe a Word,Jennifer  McMahon,1894,https://www.goodreads.com/book/show/9581507-don-t-breathe-a-word?from_choice=true
2011,best fantasy books,10079321,The Magician King,Lev Grossman,1656,https://www.goodreads.com/book/show/10079321-the-magician-king?from_choice=true
2011,best fantasy books,8131227,One of Our Thursdays Is Missing,Jasper Fforde,1584,https://www.goodreads.com/book/show/8131227-one-of-our-thursdays-is-missing?from_choice=true
2011,best fantasy books,8315340,Twilight's Dawn,Anne Bishop,1418,https://www.goodreads.com/book/show/8315340-twilight-s-dawn?from_choice=true
2011,best fantasy books,9519912,Naamah's Blessing,Jacqueline Carey,1391,https://www.goodreads.com/book/show/9519912-naamah-s-blessing?from_choice=true
2011,best fantasy books,9579634,Prince of Thorns,Mark  Lawrence,1164,https://www.goodreads.com/book/show/9579634-prince-of-thorns?from_choice=true
2011,best fantasy books,8411749,The Rogue,Trudi Canavan,559,https://www.goodreads.com/book/show/8411749-the-rogue?from_choice=true
2011,best fantasy books,8706185,Among Others,Jo Walton,534,https://www.goodreads.com/book/show/8706185-among-others?from_choice=true
2011,best fantasy books,10803121,The Alloy of Law,Brandon Sanderson,397,https://www.goodreads.com/book/show/10803121-the-alloy-of-law?from_choice=true
2011,best fantasy books,8679140,Cast in Ruin,Michelle Sagara,358,https://www.goodreads.com/book/show/8679140-cast-in-ruin?from_choice=true
2011,best fantasy books,8694389,Deathless,Catherynne M. Valente,342,https://www.goodreads.com/book/show/8694389-deathless?from_choice=true
2011,best fantasy books,9300768,The Heroes,Joe Abercrombie,329,https://www.goodreads.com/book/show/9300768-the-heroes?from_choice=true
2011,best fantasy books,8396337,Blackveil,Kristen Britain,297,https://www.goodreads.com/book/show/8396337-blackveil?from_choice=true
2011,best fantasy books,7923006,The Kingdom of Gods,N.K. Jemisin,187,https://www.goodreads.com/book/show/7923006-the-kingdom-of-gods?from_choice=true
2011,best fantasy books,10199908,The Measure of the Magic,Terry Brooks,167,https://www.goodreads.com/book/show/10199908-the-measure-of-the-magic?from_choice=true
2011,best fantasy books,8598554,The Omen Machine,Terry Goodkind,117,https://www.goodreads.com/book/show/8598554-the-omen-machine?from_choice=true
2011,best paranormal fantasy books,7304203,Shadowfever,Karen Marie Moning,5849,https://www.goodreads.com/book/show/7304203-shadowfever?from_choice=true
2011,best paranormal fantasy books,8667848,A Discovery of Witches,Deborah Harkness,5842,https://www.goodreads.com/book/show/8667848-a-discovery-of-witches?from_choice=true
2011,best paranormal fantasy books,7981206,Dead Reckoning,Charlaine Harris,5144,https://www.goodreads.com/book/show/7981206-dead-reckoning?from_choice=true
2011,best paranormal fantasy books,8058301,Ghost Story,Jim Butcher,5003,https://www.goodreads.com/book/show/8058301-ghost-story?from_choice=true
2011,best paranormal fantasy books,8559047,Magic Slays,Ilona Andrews,3877,https://www.goodreads.com/book/show/8559047-magic-slays?from_choice=true
2011,best paranormal fantasy books,7802254,Succubus Revealed,Richelle Mead,2823,https://www.goodreads.com/book/show/7802254-succubus-revealed?from_choice=true
2011,best paranormal fantasy books,6871617,This Side of the Grave,Jeaniene Frost,2586,https://www.goodreads.com/book/show/6871617-this-side-of-the-grave?from_choice=true
2011,best paranormal fantasy books,8138071,Pale Demon,Kim Harrison,2445,https://www.goodreads.com/book/show/8138071-pale-demon?from_choice=true
2011,best paranormal fantasy books,8087906,River Marked,Patricia Briggs,1690,https://www.goodreads.com/book/show/8087906-river-marked?from_choice=true
2011,best paranormal fantasy books,9581001,Hard Bitten,Chloe Neill,1561,https://www.goodreads.com/book/show/9581001-hard-bitten?from_choice=true
2011,best paranormal fantasy books,9565045,Second Grave on the Left,Darynda Jones,653,https://www.goodreads.com/book/show/9565045-second-grave-on-the-left?from_choice=true
2011,best paranormal fantasy books,8935153,Hit List,Laurell K. Hamilton,600,https://www.goodreads.com/book/show/8935153-hit-list?from_choice=true
2011,best paranormal fantasy books,8356487,Heartless,Gail Carriger,574,https://www.goodreads.com/book/show/8356487-heartless?from_choice=true
2011,best paranormal fantasy books,10783217,One Salt Sea,Seanan McGuire,498,https://www.goodreads.com/book/show/10783217-one-salt-sea?from_choice=true
2011,best paranormal fantasy books,8926959,Hunt the Moon,Karen Chance,471,https://www.goodreads.com/book/show/8926959-hunt-the-moon?from_choice=true
2011,best paranormal fantasy books,9533378,Hounded,Kevin Hearne,336,https://www.goodreads.com/book/show/9533378-hounded?from_choice=true
2011,best paranormal fantasy books,7797032,Spell Bound,Kelley Armstrong,309,https://www.goodreads.com/book/show/7797032-spell-bound?from_choice=true
2011,best paranormal fantasy books,9571401,Blood Rights,Kristen Painter,148,https://www.goodreads.com/book/show/9571401-blood-rights?from_choice=true
2011,best paranormal fantasy books,8105616,Blood Challenge,Eileen Wilks,135,https://www.goodreads.com/book/show/8105616-blood-challenge?from_choice=true
2011,best paranormal fantasy books,9565574,Grave Dance,Kalayna Price,92,https://www.goodreads.com/book/show/9565574-grave-dance?from_choice=true
2011,best science fiction books,10644930,11/22/63,Stephen King,4429,https://www.goodreads.com/book/show/10644930-11-22-63?from_choice=true
2011,best science fiction books,9969571,Ready Player One,Ernest Cline,3402,https://www.goodreads.com/book/show/9969571-ready-player-one?from_choice=true
2011,best science fiction books,11045709,When She Woke,Hillary Jordan,2682,https://www.goodreads.com/book/show/11045709-when-she-woke?from_choice=true
2011,best science fiction books,12620241,Silver Shark,Ilona Andrews,2611,https://www.goodreads.com/book/show/12620241-silver-shark?from_choice=true
2011,best science fiction books,9634967,Robopocalypse,Daniel H. Wilson,2234,https://www.goodreads.com/book/show/9634967-robopocalypse?from_choice=true
2011,best science fiction books,9673936,Basilisk,Rob Thurman,1634,https://www.goodreads.com/book/show/9673936-basilisk?from_choice=true
2011,best science fiction books,9265453,Embassytown,China Miéville,1424,https://www.goodreads.com/book/show/9265453-embassytown?from_choice=true
2011,best science fiction books,9795166,Phoenix Rising,Pip Ballantine,1251,https://www.goodreads.com/book/show/9795166-phoenix-rising?from_choice=true
2011,best science fiction books,10648186,Aftermath,Ann Aguirre,1160,https://www.goodreads.com/book/show/10648186-aftermath?from_choice=true
2011,best science fiction books,8855321,Leviathan Wakes,James S.A. Corey,897,https://www.goodreads.com/book/show/8855321-leviathan-wakes?from_choice=true
2011,best science fiction books,9647532,Fuzzy Nation,John Scalzi,461,https://www.goodreads.com/book/show/9647532-fuzzy-nation?from_choice=true
2011,best science fiction books,8429441,WWW,Robert J. Sawyer,420,https://www.goodreads.com/book/show/8429441-www?from_choice=true
